,,,,,,,서치펌 관리 추가,
,,,,,,,서치펌 관리 삭제,
,,,주요 연구실 관리,,명단 관리,,목록 설정,
,,,,,,,목록 추가,
,,,,,,,목록 삭제,
,,,,,통계 확인,,연구실 지원 규모 조회,
,,,,,,,연구실별 인원 List 조회,
,,,선배사원 관리,,목록 및 채용 상담회 참석 이력조회,,목록 조회,
,,,,,,,채용 상담회 참석 이력 조회,
,기준/정보 관리,,공고 관리,,공고 조직 관리,,목록 추가,
,,,,,,,목록 삭제,
,,,,,,,목록 저장,
,,,,,모집분야 관리,,목록 추가,
,,,,,,,목록 삭제,
,,,,,,,목록 저장,
,,,,,공고전형단계 템플릿,,목록 추가,
,,,,,,,목록 삭제,
,,,,,공고 지원서 항목 관리,,목록 상세 조회,
,,,,,,,목록 추가,
,,,,,,,목록 삭제,
,,,,,자기소개서 항목 관리,,목록 추가,
,,,,,,,목록 삭제,
,,,,,,,목록 저장,
,,,서류/면접전형,,최소자격 기준관리,,목록 추가,
,,,,,,,목록 삭제,
,,,,,학력가준관리,,목록 추가,
,,,,,,,목록 삭제,
,,,,,평가표 템플릿,,목록 상세 조회,
,,,,,,,목록 추가,
,,,,,,,목록 삭제,
,,,,,면접위원 관리,,다운로드,
,,,,,,,업로드,
,,,,,,,면접위원 교육이수 작성,
,,,,,,,면접위원 역량 작성,
,,,,,,,저장,
,,,처우제안,,처우제안 항목 관리,,추가,
,,,,,,,삭제,
,,,안내문,,목록,,목록 상세 조회,
,,,,,,,목록 추가,
,,,,,,,목록 삭제,
,,,기타 관리,,직무 체계도 관리,,상세조회,
,,,,,,,수정,
,,,,,통보자 관리,,목록 추가,
,,,,,,,목록 삭제,
,,,,,,,목록 저장,
,,,,,대시보드 항목 관리,,목록 상세 조회,
,,,,,,,목록 추가,
,,,,,,,목록 삭제,
,,,권한관리,,권한관리 목록,,다운로드,
,,,,,,,추가,
,,,,,,,삭제,
,,,,,,,저장,
,,,,,,,초기화,
,문의내역,,문의내역 조회 및 답변하기,,목록,,다운로드,
,,,,,상세 ,,상세조회,
,,,,,,,문의이관,
,,,,,,,확인대기,
,,,,,,,답변취소,
,,,,,,,답변등록,
,채용,,결재,,결재 목록,,전체 조회,
,,,,,,,분류별 조회,
,,,,,결제 상세,,의견 작성,
,,,,,,,승인,
,,,,,,,반려,
,,,채용 요청서 작성/확인,,채용 요청서 목록 ,,목록 복사,
,,,,,,,목록 추가,
,,,,,채용 요청서 상세,,의견 작성,
,,,,,,,승인,
,,,,,,,반려,
,,,서류평가,,지원서 평가,,목록 조회,
,,,,,,,상세 조회,
,,,,,,,지원서 평가,
,,,,,인재카드 검토,,목록 조회,
,,,,,,,상세 조회,
,,,,,,,인재카드 검토,
,,,면접평가,,목록 및 면접서약서 조회,,목록 조회,
,,,,,,,면접서약서 조회,
,,,,,상세,,면접위원 위임요청,
,,,,,,,면접평가 Guide 조회,
,,,,,,,면접결과작성,
,,,일정,,목록,,월간일정 조회,
,,,,,,,주간일정 조회,
,,,,,,,분기일정 조회,
,,,,,,,일정 목록 함께 보기,
,,,,,,,일정 목록 검색,
,,,나의 할 일,,인재카드/서류 평가,,목록 조회,
,,,,,,,안내문 상세 조회,
,,,,,면접 전형,,목록 조회,
,,,,,,,안내문 상세 조회,
,,,,,환영 메시지,,환영 메시지 작성,
,,,,,,,환영 메시지 목록 조회,
,,,,,네트워킹 행사 참여,,목록 조회,
,,,,,,,추가,
,,,,,,,삭제,
,컨텐츠 관리,,Story,,Story 목록 및 상세 조회,,목록 조회,
,,,,,,,상세 조회,
,,,People,,People 목록 및 상세 조회,,목록 조회,
,,,,,,,상세 조회,
,,,공지사항 관리,,공지사항 관리 목록 및 상세 조회,,목록 조회,
,,,,,,,상세 조회,
,퀵메뉴,,결재,,결재 조회/승인,,결재 목록 조회,
,,,,,,,결재 목록 승인 단계별 조회,
,,,,,,,결재 상세 의견 작성,
,,,,,,,결재 승인,
,,,,,,,결재 반려,
,,,일정,,일정 목록 조회,,월간일정 조회,
,,,,,,,주간일정 조회,
,,,,,,,분기일정 조회,
